,mean,smoothing,model_type,extract_method
0,0.4854168277992878,0.4791130834052018,complement,HashingTF
1,0.48216705988835984,0.4270753272231988,complement,HashingTF
2,0.48203646311867515,0.6502161679909171,complement,HashingTF
3,0.4848709764629965,0.18139296087136395,complement,HashingTF
4,0.4858877780478012,0.39492918629728363,complement,HashingTF
5,0.48080234294651425,0.735181204440791,complement,HashingTF
6,0.4795722468086714,0.36318244508157393,complement,HashingTF
7,0.48683165220059693,0.529839511985486,complement,HashingTF
8,0.48968158980803156,0.393513670937346,complement,HashingTF
9,0.47560913112745995,0.3465416601127852,complement,HashingTF
10,0.4848287649038504,0.14345791210351053,complement,HashingTF
11,0.47559931387657234,0.5793306754661137,complement,HashingTF
12,0.48198570402856544,0.1847507276069909,complement,HashingTF
13,0.48156443411594946,0.36315461711761804,complement,HashingTF
14,0.48400721014530623,0.715597563766843,complement,HashingTF
15,0.4827106752995003,0.17740938494722328,complement,HashingTF
16,0.4823990763449751,0.2066840077722835,complement,HashingTF
17,0.48207359760738583,0.48324205764498496,complement,HashingTF
18,0.48663576908569517,0.07841994224027851,complement,HashingTF
19,0.48356545744399665,0.17095501587647496,complement,HashingTF
20,0.48323826178641,0.6142485558990807,complement,HashingTF
21,0.48961161881470416,0.3661496884901046,complement,HashingTF
22,0.48548572571994075,0.010052104464361557,complement,HashingTF
23,0.48275699563059504,0.618215520519245,complement,HashingTF
24,0.48416861952426693,0.13528318373617965,complement,HashingTF
25,0.4821981719710998,0.6115204557584255,complement,HashingTF
26,0.4853681891861189,0.4684088304668181,complement,HashingTF
27,0.4849746883793037,0.7071090675461424,complement,HashingTF
28,0.48647798148150956,0.5535156903635724,complement,HashingTF
29,0.48107417471635944,0.12746165525057554,complement,HashingTF
30,0.4819413685173273,0.680025297370947,complement,HashingTF
31,0.4830949370661148,0.2502461203511656,complement,HashingTF
32,0.4782324283576299,0.2519649351893558,complement,HashingTF
33,0.4839760021710265,0.2486691225226085,complement,HashingTF
34,0.48588596801013684,0.23475106565065065,complement,HashingTF
35,0.48515304425137296,0.10812483871819296,complement,HashingTF
36,0.4856484754126513,0.533940240610281,complement,HashingTF
37,0.4809353438039878,0.5108601337840061,complement,HashingTF
38,0.4786567813121394,0.10128923833856202,complement,HashingTF
39,0.48319174415779614,0.675773856668288,complement,HashingTF
40,0.48543133695584945,0.3131328615963455,complement,HashingTF
41,0.47566788914979924,0.2936296656519013,complement,HashingTF
42,0.47824798782636985,0.15597611704526296,complement,HashingTF
43,0.47847687181833914,0.5473426895521103,complement,HashingTF
44,0.47960386806600247,0.07717873468384069,complement,HashingTF
45,0.4840555227694742,0.48152982776230835,complement,HashingTF
46,0.48995808071245445,0.625253783555359,complement,HashingTF
47,0.4810982316414867,0.6244610924634184,complement,HashingTF
48,0.4898741182462919,0.22689763011401484,complement,HashingTF
49,0.48580413783686893,0.3312252389174878,complement,HashingTF
50,0.8919757789934672,0.40896845243102875,multinomial,HashingTF
51,0.8880792327965349,0.37505937874004874,multinomial,HashingTF
52,0.8889677300535377,0.7432859669125002,multinomial,HashingTF
53,0.8923684568504742,0.039314422680400515,multinomial,HashingTF
54,0.8919110163864402,0.4061462445725384,multinomial,HashingTF
55,0.8942847014966665,0.5530038252647487,multinomial,HashingTF
56,0.8921811610214609,0.18689656092388765,multinomial,HashingTF
57,0.8924551500060639,0.20569111802524886,multinomial,HashingTF
58,0.8931363999887756,0.31883294674984797,multinomial,HashingTF
59,0.8925764652948914,0.4516794759675399,multinomial,HashingTF
60,0.889573602588358,0.547128833153555,multinomial,HashingTF
61,0.8930641687791274,0.4252176516111749,multinomial,HashingTF
62,0.8919478015962917,0.016504525373933838,multinomial,HashingTF
63,0.8910897624804042,0.06290903959243009,multinomial,HashingTF
64,0.8927648763333368,0.2922350018445589,multinomial,HashingTF
65,0.8906932629980759,0.20505464498476983,multinomial,HashingTF
66,0.8915873620438796,0.24103828590531529,multinomial,HashingTF
67,0.8923245557225926,0.33285878541040514,multinomial,HashingTF
68,0.8939904535688957,0.3965557144217725,multinomial,HashingTF
69,0.8946319882458686,0.0675166602822325,multinomial,HashingTF
70,0.8920486030898286,0.7021065250098073,multinomial,HashingTF
71,0.8922137666028639,0.4954514460612954,multinomial,HashingTF
72,0.8905781457582027,0.2704821922776596,multinomial,HashingTF
73,0.8932118558306474,0.5081908642564328,multinomial,HashingTF
74,0.8919716134179412,0.03965946900423356,multinomial,HashingTF
75,0.8949046921141677,0.6567210834174954,multinomial,HashingTF
76,0.8910889521759949,0.17360860150071106,multinomial,HashingTF
77,0.8920079770245,0.31734314823938925,multinomial,HashingTF
78,0.8915375675707338,0.17419885759825063,multinomial,HashingTF
79,0.8941643596708561,0.18511220102543896,multinomial,HashingTF
80,0.890093417588801,0.32057713056039217,multinomial,HashingTF
81,0.8918852666198613,0.6651218491402424,multinomial,HashingTF
82,0.8917361333691438,0.6606137673368835,multinomial,HashingTF
83,0.8911396841374947,0.7627750220815233,multinomial,HashingTF
84,0.892590096998419,0.346514462257198,multinomial,HashingTF
85,0.8915631270623297,0.19800258287039219,multinomial,HashingTF
86,0.8905464734290411,0.7489084362350464,multinomial,HashingTF
87,0.8931529534357984,0.5707437153915352,multinomial,HashingTF
88,0.8933848231561615,0.5074585574365524,multinomial,HashingTF
89,0.8923630539060705,0.6655168238629702,multinomial,HashingTF
90,0.8936694676946564,0.7515931572202437,multinomial,HashingTF
91,0.8920167767265643,0.7262356794952258,multinomial,HashingTF
92,0.8923317827075256,0.7987619252366263,multinomial,HashingTF
93,0.8904319819273815,0.17340103731929715,multinomial,HashingTF
94,0.8915008670288203,0.2940176837835661,multinomial,HashingTF
95,0.8912581408218518,0.1996062620448076,multinomial,HashingTF
96,0.8910068294885237,0.10725084157271794,multinomial,HashingTF
97,0.8905512905002636,0.23579134621043282,multinomial,HashingTF
98,0.8923049495272074,0.3364815683236989,multinomial,HashingTF
99,0.8904195689540364,0.6255787651031891,multinomial,HashingTF
